price,area,bedrooms,bathrooms,stories,total_building_area,mainroad_no,mainroad_yes,guestroom_no,guestroom_yes,basement_no,basement_yes,hotwaterheating_no,hotwaterheating_yes,airconditioning_no,airconditioning_yes,prefarea_no,prefarea_yes,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
5383000,6450,3,2,1,6450,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
5320000,7800,3,1,1,7800,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1
5285000,4600,2,2,1,4600,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
5250000,4260,4,1,2,8520,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
5250000,6540,4,2,2,13080,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
5250000,5500,3,2,1,5500,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
5250000,8400,3,1,2,16800,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1
5250000,5300,4,2,1,5300,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1
5250000,3800,3,1,2,7600,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
5250000,9800,4,2,2,19600,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
5250000,8520,3,1,1,8520,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
5243000,6050,3,1,1,6050,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0
5229000,7085,3,1,1,7085,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
5215000,3180,3,2,2,6360,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
5215000,4500,4,2,1,4500,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
5215000,7200,3,1,2,14400,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
5145000,3410,3,1,2,6820,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
5145000,7980,3,1,1,7980,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
5110000,3000,3,2,2,6000,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0
5110000,3000,3,1,2,6000,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
5110000,6100,3,1,1,6100,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
5075000,5720,2,1,2,11440,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1
5040000,3540,2,1,1,3540,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0
5040000,7600,4,1,2,15200,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
5040000,6600,3,1,1,6600,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
5033000,4800,2,1,1,4800,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
5005000,8150,3,2,1,8150,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
4970000,4410,4,3,2,8820,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4970000,7686,3,1,1,7686,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0
4956000,2800,3,2,2,5600,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
4935000,5948,3,1,2,11896,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
4907000,4200,3,1,2,8400,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
4900000,4520,3,1,2,9040,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
4900000,4095,3,1,2,8190,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0
4900000,4120,2,1,1,4120,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4900000,5400,4,1,2,10800,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4900000,4770,3,1,1,4770,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
4900000,6300,3,1,1,6300,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
4900000,5800,2,1,1,5800,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0
4900000,3000,3,1,2,6000,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
4900000,2970,3,1,3,8910,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4900000,6720,3,1,1,6720,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
4900000,4646,3,1,2,9292,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
4893000,3420,4,2,2,6840,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
4893000,4995,4,2,1,4995,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4865000,4350,2,1,1,4350,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
4830000,4160,3,1,3,12480,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
4830000,6040,3,1,1,6040,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
4830000,6862,3,1,2,13724,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0
4830000,4815,2,1,1,4815,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0
4795000,7000,3,1,2,14000,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
4767000,3420,4,2,2,6840,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4760000,9166,2,1,1,9166,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
4760000,6321,3,1,2,12642,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
4690000,6000,2,1,1,6000,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
4690000,3630,3,1,2,7260,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4690000,9667,4,2,2,19334,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
4690000,5400,2,1,2,10800,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
4690000,4320,3,1,1,4320,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
4655000,3745,3,1,2,7490,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
4620000,4160,3,1,1,4160,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1
4620000,3880,3,2,2,7760,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4620000,5680,3,1,2,11360,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
4620000,2870,2,1,2,5740,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
4620000,5010,3,1,2,10020,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4613000,4510,4,2,2,9020,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4585000,4000,3,1,2,8000,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
4585000,3840,3,1,2,7680,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
4550000,3760,3,1,1,3760,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4550000,3640,3,1,2,7280,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
4550000,2550,3,1,2,5100,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
4550000,5320,3,1,2,10640,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
4550000,5360,3,1,2,10720,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
4550000,3520,3,1,1,3520,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
4543000,4100,2,2,1,4100,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
4543000,4990,4,2,2,9980,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
4515000,3510,3,1,3,10530,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4515000,3450,3,1,2,6900,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4515000,3520,2,1,2,7040,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
4480000,4510,4,1,2,9020,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
4480000,5885,2,1,1,5885,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1
4480000,4000,3,1,2,8000,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
4480000,8250,3,1,1,8250,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
4480000,4040,3,1,2,8080,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4473000,6360,2,1,1,6360,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
4473000,3162,3,1,2,6324,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
4473000,3510,3,1,2,7020,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4445000,3750,2,1,1,3750,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
4410000,3968,3,1,2,7936,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
4410000,4900,2,1,2,9800,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4403000,2880,3,1,2,5760,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
4403000,4880,3,1,1,4880,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
4403000,4920,3,1,2,9840,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4382000,4950,4,1,2,9900,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
4375000,3900,3,1,2,7800,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
4340000,4500,3,2,3,13500,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
4340000,4075,3,1,1,4075,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
4340000,3500,4,1,2,7000,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
4340000,6450,4,1,2,12900,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4319000,4032,2,1,1,4032,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
4305000,4400,2,1,1,4400,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4277000,3400,3,1,2,6800,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0
4270000,6360,2,1,1,6360,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
4270000,6360,2,1,2,12720,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
4270000,4500,2,1,1,4500,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
4270000,2175,3,1,2,4350,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1
4270000,4360,4,1,2,8720,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
4270000,7770,2,1,1,7770,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
4235000,6650,3,1,2,13300,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
4235000,2787,3,1,1,2787,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0
4200000,5500,3,1,2,11000,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1
4200000,5040,3,1,2,10080,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
4200000,5850,2,1,1,5850,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
4200000,2610,4,3,2,5220,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
4200000,2953,3,1,2,5906,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
4200000,2747,4,2,2,5494,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
4200000,4410,2,1,1,4410,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
4200000,4000,4,2,2,8000,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
4200000,2325,3,1,2,4650,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
4200000,4600,3,2,2,9200,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
4200000,3640,3,2,2,7280,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
4200000,5800,3,1,1,5800,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0
4200000,4079,3,1,3,12237,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4200000,3520,3,1,2,7040,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
4200000,2145,3,1,3,6435,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
4200000,4500,3,1,1,4500,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
4193000,3450,3,1,2,6900,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4165000,4840,3,1,2,9680,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4165000,4080,3,1,2,8160,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4165000,4046,3,1,2,8092,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4130000,4632,4,1,2,9264,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
4130000,5985,3,1,1,5985,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4123000,6060,2,1,1,6060,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
4098500,3600,3,1,1,3600,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
4095000,3680,3,2,2,7360,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4095000,4040,2,1,2,8080,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4095000,5600,2,1,1,5600,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
4060000,5900,4,2,2,11800,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1
4060000,4992,3,2,2,9984,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
4060000,4340,3,1,1,4340,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
4060000,3000,4,1,3,9000,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
4060000,4320,3,1,2,8640,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
4025000,3630,3,2,2,7260,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0
4025000,3460,3,2,1,3460,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
4007500,4500,3,1,2,9000,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
4007500,3460,4,1,2,6920,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
3990000,4100,4,1,1,4100,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1
3990000,6480,3,1,2,12960,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
3990000,4500,3,2,2,9000,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
3990000,3960,3,1,2,7920,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
3990000,4050,2,1,2,8100,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1
3920000,5500,4,1,2,11000,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
3920000,3000,3,1,2,6000,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3920000,3290,2,1,1,3290,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
3920000,3816,2,1,1,3816,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
3920000,8080,3,1,1,8080,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
3920000,2145,4,2,1,2145,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1
3885000,3780,2,1,2,7560,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
3885000,3180,4,2,2,6360,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
3850000,3180,2,2,1,3180,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
3850000,7152,3,1,2,14304,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
3850000,4080,2,1,1,4080,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3850000,3850,2,1,1,3850,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3850000,2015,3,1,2,4030,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0
3850000,2176,2,1,2,4352,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0
3836000,3350,3,1,2,6700,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
3815000,3150,2,2,1,3150,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0
3780000,4820,3,1,2,9640,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3780000,3420,2,1,2,6840,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0
3780000,3600,2,1,1,3600,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3780000,5830,2,1,1,5830,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
3780000,2856,3,1,3,8568,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
3780000,8400,2,1,1,8400,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
3773000,8250,3,1,1,8250,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
3773000,6930,4,1,2,13860,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
3745000,3480,2,1,1,3480,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
3710000,3600,3,1,1,3600,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
3710000,4040,2,1,1,4040,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3710000,6020,3,1,1,6020,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3710000,4050,2,1,1,4050,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
3710000,3584,2,1,1,3584,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0
3703000,3120,3,1,2,6240,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0
3703000,5450,2,1,1,5450,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
3675000,3630,2,1,1,3630,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
3675000,3630,2,1,1,3630,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1
3675000,5640,2,1,1,5640,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
3675000,3600,2,1,1,3600,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
3640000,4280,2,1,1,4280,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
3640000,3570,3,1,2,7140,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
3640000,3180,3,1,2,6360,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0
3640000,3000,2,1,2,6000,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
3640000,3520,2,2,1,3520,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
3640000,5960,3,1,2,11920,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1
3640000,4130,3,2,2,8260,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3640000,2850,3,2,2,5700,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1
3640000,2275,3,1,3,6825,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0
3633000,3520,3,1,1,3520,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
3605000,4500,2,1,1,4500,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3605000,4000,2,1,1,4000,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
3570000,3150,3,1,2,6300,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
3570000,4500,4,2,2,9000,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0
3570000,4500,2,1,1,4500,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
3570000,3640,2,1,1,3640,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
3535000,3850,3,1,1,3850,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
3500000,4240,3,1,2,8480,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0
3500000,3650,3,1,2,7300,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
3500000,4600,4,1,2,9200,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3500000,2135,3,2,2,4270,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
3500000,3036,3,1,2,6072,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
3500000,3990,3,1,2,7980,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
3500000,7424,3,1,1,7424,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
3500000,3480,3,1,1,3480,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
